epoch,train_loss,eval_loss,accuracy,macro_f1,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,patience_counter,is_new_best
1,1.0422337677765776,0.39536192260207015,0.8783333333333333,0.8774074085947586,716.5138020515442,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.8783333333333333,0,True
2,0.3322898744777949,0.3010590194149854,0.8961666666666667,0.8955005544573641,728.4592552185059,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.8961666666666667,0,True
3,0.2948670634134776,0.2806976311939194,0.9058333333333334,0.905405602302898,729.8816196918488,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9058333333333334,0,True
4,0.2763841444503654,0.2647349901021795,0.90975,0.9091496147919814,729.9658415317535,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.90975,0,True
5,0.2578210723306984,0.24527944354934894,0.913,0.9124383657614363,728.1577928066254,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.913,0,True
6,0.24081365878417813,0.22860449435625305,0.9208333333333333,0.9204838185853128,729.9483218193054,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9208333333333333,0,True
7,0.22585953915457208,0.21963476139972818,0.9241666666666667,0.9236711262370654,730.424426317215,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9241666666666667,0,True
8,0.2145745789601157,0.2082798496047233,0.9286666666666666,0.928308253600626,730.5224754810333,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9286666666666666,0,True
9,0.20477354622577076,0.20089927167096672,0.9319166666666666,0.9316238570056452,729.5143661499023,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9319166666666666,0,True
10,0.19719963857338385,0.19951223451247874,0.934,0.9335871080712967,729.5210344791412,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.934,0,True
11,0.19043451843331397,0.19365927221332777,0.9369166666666666,0.9365316748353036,713.9411351680756,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9369166666666666,0,True
12,0.18390628299684506,0.19316952592356407,0.9359166666666666,0.9354945736091098,712.716299533844,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9369166666666666,1,False
13,0.17872831195739478,0.18641919967658976,0.9404166666666667,0.9401032095528981,714.5927336215973,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9404166666666667,0,True
14,0.17329843422630803,0.18709276964333146,0.93975,0.9394633597408877,713.408282995224,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9404166666666667,1,False
15,0.16705882278126147,0.18598346835735471,0.9406666666666667,0.9403694235347457,714.6918430328369,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9406666666666667,0,True
16,0.16327073471256773,0.1837706398763793,0.9423333333333334,0.9421098274019238,717.335902929306,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9423333333333334,0,True
17,0.1582089009517114,0.18772391182311038,0.9419166666666666,0.9415525212437679,717.1736245155334,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9423333333333334,1,False
18,0.15355212235665466,0.1872226524890024,0.9415833333333333,0.9412882815442744,716.7327888011932,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.9423333333333334,2,False
19,0.1495455960319895,0.18519435491056202,0.94375,0.9435249235741971,713.627551317215,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.94375,0,True
20,0.14543362519936637,0.18702031472856376,0.9435833333333333,0.9432616072052531,713.7941765785217,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.94375,1,False
21,0.14306140151030072,0.19505471802574206,0.9431666666666667,0.9427930307284778,714.1384432315826,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.94375,2,False
22,0.13925619411732382,0.19097199089864783,0.94525,0.9450196055331248,713.8540978431702,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.94525,0,True
23,0.1348598227576025,0.18779644011420774,0.9448333333333333,0.944593598143595,713.4871397018433,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.94525,1,False
24,0.12894536186394678,0.1913182791025239,0.9450833333333334,0.9448888371348989,711.7962284088135,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.94525,2,False
25,0.12641747251682034,0.20212763803020278,0.9435833333333333,0.9433388243584153,712.4704871177673,814852,67771400,distilbert-base-uncased,ag_news,Centralized DistilBERT + LoRA,0.94525,3,False
