round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best
1,0.86475,0.859642255470626,0.3516512079600324,1110.4800260066986,757.6128466129303,31.084136962890625,814852,67771400,distilbert-base-uncased,ag_news,FedAvg + DistilBERT + LoRA,5,1,noniid,0.86475,0,True
2,0.8750833333333333,0.869805233788512,0.34076009813616887,1138.9696128368378,777.9692006111145,31.084136962890625,814852,67771400,distilbert-base-uncased,ag_news,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8750833333333333,0,True
3,0.87275,0.8665360190769509,0.34550414646559574,1137.4192564487457,776.7041258811951,31.084136962890625,814852,67771400,distilbert-base-uncased,ag_news,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8750833333333333,1,False
4,0.8691666666666666,0.862332205910155,0.34468911596118135,1136.5986549854279,776.703370809555,31.084136962890625,814852,67771400,distilbert-base-uncased,ag_news,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8750833333333333,2,False
5,0.8714166666666666,0.8648437765646881,0.358775396851149,1134.20383644104,774.9614367485046,31.084136962890625,814852,67771400,distilbert-base-uncased,ag_news,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8750833333333333,3,False
