epoch,train_loss,eval_loss,accuracy,macro_f1,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,patience_counter,is_new_best
1,1.1257393742314092,0.5585113580226898,0.8844166666666666,0.8836418838084616,434.7817192077637,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.8844166666666666,0,True
2,0.38176656751279475,0.29632469481229784,0.9051666666666667,0.90461478109254,434.22718954086304,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.9051666666666667,0,True
3,0.28036813163757324,0.2515698469777902,0.915,0.9144314336802114,432.41924715042114,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.915,0,True
4,0.23691159997162994,0.22089169311523438,0.9241666666666667,0.9237326506825987,432.9917378425598,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.9241666666666667,0,True
5,0.2081430760136357,0.20335918978850046,0.9299166666666666,0.9296801174416818,435.59426522254944,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.9299166666666666,0,True
6,0.18805151980894583,0.19133187161882717,0.9343333333333333,0.9340314107733048,434.12112855911255,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.9343333333333333,0,True
7,0.17019490985958666,0.18794301855564116,0.9358333333333333,0.9355705112208407,435.8419122695923,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.9358333333333333,0,True
8,0.15472424843134702,0.1801592247436444,0.93925,0.9389566550115243,433.8445494174957,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.93925,0,True
9,0.1414420642565798,0.18030415271719297,0.9374166666666667,0.9368945085597938,432.01462626457214,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.93925,1,False
10,0.12809247849164185,0.17752172700812419,0.9409166666666666,0.9405480629069582,431.15711760520935,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.9409166666666666,0,True
11,0.11414095553535002,0.1769314393637081,0.94225,0.9419652418927146,430.93049573898315,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.94225,0,True
12,0.1020652622602604,0.18774597711861132,0.9404166666666667,0.9401818111357896,432.8511211872101,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.94225,1,False
13,0.0887891249469033,0.18909223015109697,0.9418333333333333,0.9416376075898922,435.3456292152405,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.94225,2,False
14,0.07655029671721988,0.20419242226332426,0.9390833333333334,0.9385666860747035,432.1692171096802,66956548,66956548,distilbert-base-uncased,ag_news,centralized_distilbert_full_finetuning,0.94225,3,False
