round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best,client_id,num_samples,train_loss
1,0.25475,0.1015142458657103,1.6042705939171162,223.65217328071594,16.935138940811157,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.67225,0,True,0,11250,0.7140746499750424
1,0.7049166666666666,0.6143897324781216,1.0698783606924909,223.65217328071594,15.300085544586182,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.67225,0,True,1,10975,0.7988006861842408
1,0.7045,0.6183096708488268,1.4187275168109448,223.65217328071594,109.21781086921692,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.67225,0,True,2,71346,0.34684443669769527
1,0.25475,0.1015142458657103,2.11815666898768,223.65217328071594,10.567799091339111,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.67225,0,True,3,6816,0.7605069837589779
1,0.68875,0.596262029159038,1.0526621373409921,223.65217328071594,11.25509762763977,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.67225,0,True,4,7613,1.0116800407902533
2,0.7886666666666666,0.7947492162643452,0.6714429237107014,219.2851414680481,17.487932682037354,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7053333333333334,0,True,0,11250,0.46606956419153983
2,0.7125,0.62410699250935,1.1200623880041407,219.2851414680481,15.586219072341919,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7053333333333334,0,True,1,10975,0.3677392610546973
2,0.7095833333333333,0.6182437815194087,1.3958163299459092,219.2851414680481,102.17420268058777,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7053333333333334,0,True,2,71346,0.19884471337231618
2,0.6345,0.5709582204752598,1.2089395006286336,219.2851414680481,10.192250728607178,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7053333333333334,0,True,3,6816,0.4794141182177503
2,0.70225,0.6255669760506999,0.5814278631451282,219.2851414680481,11.52906322479248,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7053333333333334,0,True,4,7613,0.6149049302359589
3,0.7811666666666667,0.7879851827887157,0.7105959092682981,223.09654474258423,18.29110288619995,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7101666666666666,0,True,0,11250,0.3467066584006799
3,0.70875,0.6252382055168697,1.3315179652356086,223.09654474258423,16.06699514389038,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7101666666666666,0,True,1,10975,0.2521911807407139
3,0.7110833333333333,0.6233604998567175,1.433640182969418,223.09654474258423,103.56314516067505,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7101666666666666,0,True,2,71346,0.17000548946608543
3,0.6768333333333333,0.6045372107599056,1.2392843248362237,223.09654474258423,10.19673204421997,2.332916259765625,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,FedAvg + TinyBERT + LoRA,5,1,noniid,0.7101666666666666,0,True,3,6816,0.2933825218848919
