epoch,train_loss,eval_loss,accuracy,macro_f1,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,patience_counter,is_new_best
1,1.386170925564236,1.3858956681921126,0.255,0.11027201374466125,126.97190999984741,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.11027201374466125,0,True
2,1.3859337565104166,1.3854914726094996,0.25683333333333336,0.1138156471168043,127.72778487205505,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.1138156471168043,0,True
3,1.3854007432725695,1.3846215593053939,0.2659166666666667,0.13319145514318723,125.85322713851929,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.13319145514318723,0,True
4,1.3841822916666666,1.3823457271494763,0.33058333333333334,0.2382852665286962,126.29376721382141,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.2382852665286962,0,True
5,1.380264747902199,1.3748386464220412,0.5386666666666666,0.45902460298758985,126.09404253959656,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.45902460298758985,0,True
6,1.3691318088107638,1.3570962459483045,0.6798333333333333,0.6294054301345332,124.98822355270386,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.6294054301345332,0,True
7,1.3484369574652777,1.3298476198886304,0.7593333333333333,0.7444530838627126,126.05662107467651,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.7444530838627126,0,True
8,1.3184292082609954,1.2925676386407081,0.7771666666666667,0.7674702749521123,126.20888304710388,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.7674702749521123,0,True
9,1.2780230486834492,1.2437263651097075,0.7809166666666667,0.7711000552115905,125.16746473312378,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.7711000552115905,0,True
10,1.2285230758101853,1.1865794405024102,0.7896666666666666,0.7816357259951583,125.85615134239197,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.7816357259951583,0,True
11,1.1732652407045718,1.1251973091287817,0.8056666666666666,0.8010603718734739,125.42216444015503,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.8010603718734739,0,True
12,1.1151160120081018,1.0622570768315742,0.8215,0.8194512997741534,125.37375092506409,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.8194512997741534,0,True
13,1.0553076352719908,0.9988539675448803,0.8321666666666667,0.8309123110480061,126.15754723548889,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.8309123110480061,0,True
14,0.9952762541594329,0.9361155489657788,0.8335833333333333,0.8324425601047983,126.09101605415344,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.8324425601047983,0,True
15,0.9359655987774884,0.8750544608907497,0.8346666666666667,0.8338596539668803,125.61071491241455,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.8338596539668803,0,True
16,0.8785424714265047,0.8177242684871593,0.83275,0.8312759557422011,124.85106873512268,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.8338596539668803,1,False
17,0.8242345422815394,0.7649923486912504,0.8325,0.8309042772227836,129.6269233226776,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.8338596539668803,2,False
18,0.7752007107204861,0.7177494333145467,0.8316666666666667,0.8297456636206517,129.85929918289185,61156,14412656,huawei-noah/TinyBERT_General_4L_312D,ag_news,centralized_tinybert_lora,0.8338596539668803,3,False
