round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best
1,0.7752,0.76411277189151,0.6208250982851922,1516.9599113464355,1238.397677898407,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.7752,0,True
2,0.884,0.8832528180354267,0.39252415541087904,1526.6918890476227,1249.4920966625214,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.884,0,True
3,0.894,0.8935802977213654,0.42008489775884,1526.4460411071777,1250.0364389419556,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,0,True
4,0.8908,0.8904415422556136,0.5006820084969218,1525.8557062149048,1249.5377786159515,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,1,False
5,0.8848,0.8841725674308702,0.5840941956266761,1525.5964365005493,1249.1740560531616,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,2,False
6,0.8908,0.890480641550762,0.6142469665508635,1525.357061624527,1248.969221830368,4176.474685668945,109483778,109483778,bert-base-uncased,imdb,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.894,3,False
