round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best
1,0.75975,0.7040286347968454,0.7854415822823843,2715.313768386841,2176.2044620513916,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.75975,0,True
2,0.9085833333333333,0.9065665252887269,0.3369461573921144,2712.469003200531,2175.883941411972,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,0,True
3,0.8446666666666667,0.8320763870052308,0.7429333729247252,2709.2921245098114,2174.1200318336487,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,1,False
4,0.8746666666666667,0.8680069308695337,0.6593059236854315,2711.2141337394714,2175.4372611045837,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,2,False
5,0.8845,0.8799036698529353,0.6311445939776799,2707.8706319332123,2171.9189999103546,4176.533355712891,109485316,109485316,bert-base-uncased,ag_news,FedAvg + BERT-base (full fine-tuning),5,1,noniid,0.9085833333333333,3,False
