epoch,train_loss,eval_loss,accuracy,macro_f1,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,patience_counter,is_new_best
1,0.6935467642083945,0.6857190034057521,0.6588,0.6476356891758476,183.62253642082214,66955010,66955010,distilbert-base-uncased,imdb,centralized_full_finetuning,0.6588,0,True
2,0.6143078671843767,0.3987301935123492,0.854,0.8537613150680015,187.3868317604065,66955010,66955010,distilbert-base-uncased,imdb,centralized_full_finetuning,0.854,0,True
3,0.33501070614986245,0.28933381421279303,0.8844,0.884399981503997,187.7814815044403,66955010,66955010,distilbert-base-uncased,imdb,centralized_full_finetuning,0.8844,0,True
4,0.28393907485994446,0.269622026317859,0.8904,0.8903797246338683,187.81071972846985,66955010,66955010,distilbert-base-uncased,imdb,centralized_full_finetuning,0.8904,0,True
5,0.2588356464741157,0.2598532468929321,0.8972,0.8971998519677868,188.4068386554718,66955010,66955010,distilbert-base-uncased,imdb,centralized_full_finetuning,0.8972,0,True
6,0.23864873538393455,0.25421551025555106,0.9,0.8999836133152055,187.6987910270691,66955010,66955010,distilbert-base-uncased,imdb,centralized_full_finetuning,0.9,0,True
7,0.22235087596023007,0.2497422916555329,0.9,0.899995903832221,187.80992555618286,66955010,66955010,distilbert-base-uncased,imdb,centralized_full_finetuning,0.9,1,False
8,0.20508084224315934,0.25191619883798344,0.8992,0.8991419057377049,186.86590456962585,66955010,66955010,distilbert-base-uncased,imdb,centralized_full_finetuning,0.9,2,False
9,0.1849902043888225,0.26332614605043886,0.8992,0.8991563710123548,187.04964780807495,66955010,66955010,distilbert-base-uncased,imdb,centralized_full_finetuning,0.9,3,False
