round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best,client_id,num_samples,train_loss
1,0.7344,0.7166328333097762,0.6306392750408076,495.8644800186157,68.79410648345947,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8204,0,True,0,4439,0.28715786474870797
1,0.864,0.8637732314720377,0.3246037064096596,495.8644800186157,50.51043462753296,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8204,0,True,1,3105,0.3070245690739308
1,0.6412,0.588993568505379,1.041025152689294,495.8644800186157,161.47087860107422,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8204,0,True,2,9593,0.08463785177751561
1,0.7848,0.777460983698562,0.5202245225634756,495.8644800186157,53.30602240562439,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8204,0,True,3,3107,0.2866662299785859
1,0.6992,0.6724855074837062,0.7406002301958543,495.8644800186157,38.771610736846924,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8204,0,True,4,2256,0.2712802665162805
2,0.8148,0.8103011009091616,0.4756149351596832,514.556928396225,76.26142716407776,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,0,True,0,4439,0.21420126461939845
2,0.8432,0.8415904576677977,0.36077311729328543,514.556928396225,53.4627001285553,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,0,True,1,3105,0.23103089997401605
2,0.6932,0.6622306586757575,0.685876309494429,514.556928396225,165.31857824325562,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,0,True,2,9593,0.06183007979374452
2,0.7812,0.7727163561620294,0.5513955341486991,514.556928396225,53.623584032058716,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,0,True,3,3107,0.2070731192254103
2,0.8008,0.7952388846785399,0.49783916545065143,514.556928396225,38.98240089416504,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,0,True,4,2256,0.1887895929699777
3,0.8428,0.8407594534183718,0.39335294690313216,515.5518662929535,76.52169919013977,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,1,False,0,4439,0.2023557477510072
3,0.8256,0.8221539409381395,0.5491927147288865,515.5518662929535,53.6550669670105,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,1,False,1,3105,0.20148618443367572
3,0.568,0.466143197003442,1.1118889424619796,515.5518662929535,165.48021125793457,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,1,False,2,9593,0.055046536048430426
3,0.846,0.8444064984898944,0.3808696605736696,515.5518662929535,53.69069719314575,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,1,False,3,3107,0.19275421488265962
3,0.7676,0.7563586206526369,0.6148177060899855,515.5518662929535,39.020370960235596,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,1,False,4,2256,0.16844865701042433
4,0.8512,0.8494701348747592,0.44565193430532385,520.3849515914917,76.75477504730225,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,2,False,0,4439,0.19077393413427546
4,0.8368,0.8342179377491606,0.45458826922540424,520.3849515914917,53.62149429321289,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,2,False,1,3105,0.2009407685448726
4,0.6072,0.5337960810765645,1.2588514510212065,520.3849515914917,167.8884677886963,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,2,False,2,9593,0.050274890350665374
4,0.8488,0.8470949001861396,0.36914637430181985,520.3849515914917,54.49240231513977,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,2,False,3,3107,0.18376116078251448
4,0.8428,0.8407005866596104,0.3928193425453162,520.3849515914917,39.42278337478638,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8788,2,False,4,2256,0.1693343073757141
5,0.8064,0.8007218808692347,0.5724368291565135,522.5675711631775,77.68163204193115,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8892,0,True,0,4439,0.18030929525228714
5,0.8528,0.8514307861249273,0.4330995030040982,522.5675711631775,54.450859785079956,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8892,0,True,1,3105,0.1942156813441752
5,0.6608,0.6162267998238988,1.2502549318007277,522.5675711631775,167.7460741996765,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8892,0,True,2,9593,0.044417708387342526
5,0.8108,0.805854699851366,0.4914776005699665,522.5675711631775,54.50645136833191,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8892,0,True,3,3107,0.18550592962747964
5,0.8284,0.825185625156579,0.4913652361948279,522.5675711631775,39.61235427856445,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.8892,0,True,4,2256,0.1640503901942032
6,0.8588,0.8576675116297336,0.35841535012933273,523.104115486145,77.90384697914124,33.83796691894531,887042,67842052,distilbert-base-uncased,imdb,FedAvg + DistilBERT + LoRA,5,1,noniid,0.89,0,True,0,4439,0.17643333162707042
